firm_name,n_offres,sector_main,avg_req_exp,avg_wage,addr_dept_main,top_skill_req
Exotec,4,"Industrie high-tech, Telecom",0,,59,"Collaboration, Python"
Hardis Group,7,"ESN, Secteur informatique",4.2,,38,"équipe, Python"
Expectra,2,"Assurance, Banque",1,40000,44,Optimisation
Ineat,2,"ESN, Secteur informatique",,,59,"équipe, Git"
Proxiel,3,"ESN, Secteur informatique",1,40000,13,"Python, SQL"
InVivo Digital Factory,2,Industrie Agro-alimentaire,7,,92,"Collaboration, équipe"
Sopra Steria,44,"ESN, Secteur informatique",5.2,,44,"équipe, Git"
Fiderim Deux Savoie,1,Services aux Entreprises,1,35000,74,Tableau
Geodis,1,"Logistique, Transport",1,,73,"équipe, modélisation"
Mobilize Financial Services,1,"Assurance, Banque",1,,93,"Collaboration, équipe"
PERSUADERS RH,2,Services aux Entreprises,7,,92,équipe
Amiltone,2,"ESN, Secteur informatique",7,39000,59,"équipe, Google Cloud"
Audensiel Technologies,3,"ESN, Secteur informatique",7,,33,"équipe, Bases de donnée"
Mazars.,2,"ESN, Secteur informatique",7,,92,"AWS, Azure"
Open,2,"ESN, Secteur informatique",,,92,"AWS, Azure"
Canal Plus,1,"Communication, Internet",7,,92,"Anglais, AWS"
Otteo,2,"ESN, Secteur informatique",1,47000,59,"équipe, Google Cloud"
Claranet,4,"ESN, Secteur informatique",7,,59,"équipe, Git"
Viveris.,5,"ESN, Secteur informatique",1,45000,94,équipe
SQLI,1,"ESN, Secteur informatique",0,,76,"AWS, Azure"
Alpee,3,"Environnement, Secteur Energie",1,51666.6666666667,74,"Power BI, SQL"
Loc Maria Biscuits,2,Industrie Agro-alimentaire,7,,22,"Collaboration, équipe"
Adapt rh,1,Services aux Entreprises,7,75000,75,"Autonome, Autonôme"
BUT,2,"Commerce de gros, Distribution",,,77,"Autonome, Autonôme"
Mosica,2,"ESN, Secteur informatique",1,,44,"AWS, équipe"
SFR,6,"Industrie high-tech, Telecom",0,,75,"Bases de donnée, équipe"
Tuanis IT,2,"ESN, Secteur informatique",7,,31,"Anglais, équipe"
Morgan Philips Executive Search,2,"Biotechn., Chimie",7,,92,"Collaboration, équipe"
RSM,2,"Assurance, Banque",0,,44,"Excel, Français"
Harry Hope,3,Services aux Entreprises,1,46666.6666666667,21,"équipe, Bases de donnée"
Sept Lieues,5,Services aux Entreprises,7,64900,75,"équipe, SQL"
PMU,3,Service public des collectivités territoriales,1,60000,75,"AWS, Collaboration"
K-Ryole,2,"Commerce de gros, Distribution",0,,75,"équipe, Tableau"
LR Technologies Nord,2,"ESN, Secteur informatique",1,42500,59,"Collaboration, équipe"
Accenture France,60,"ESN, Secteur informatique",6.4,,13,"Créativité, Git"
Omniciel,2,"ESN, Secteur informatique",1,44000,13,"Dataviz, équipe"
Azura Group / Disma Interational,2,"Commerce de gros, Distribution",7,,66,"Bases de donnée, Intelligence artificielle"
Silkhom,3,Services aux Entreprises,,46666.6666666667,56,"équipe, Power BI"
Rakam,2,Services aux Entreprises,,,92,
AIS,2,"ESN, Secteur informatique",,,44,"Bases de donnée, équipe"
Job Staging,2,"ESN, Industrie high-tech",7,,56,"Autonome, Autonôme"
Soredab,2,Industrie Agro-alimentaire,0,,78,"Azure, Curiosité"
Scalian,2,"Association, ESN",7,40000,35,"SQL, Tableau"
Twenty One Talents,2,"Communication, Industrie high-tech",7,56500,75,"Collaboration, équipe"
Maser Engineering,2,Services aux Entreprises,1,32500,31,
Consept Ingenierie,1,"ESN, Secteur informatique",7,32500,35,
Endrix,1,"Assurance, Banque",,,69,"Collaboration, Communication"
Esprit RH,1,Services aux Entreprises,1,,31,"Anglais, équipe"
Mydral,5,"ESN, Secteur informatique",7,54875,75,"équipe, Excel"
Galec - Mouvement E.Leclerc,34,"Commerce de gros, Distribution",4.70588235294118,,94,"équipe, SQL"
Repro-IT,2,"Commerce de gros, Distribution",7,314666.67,59,"Collaboration, équipe"
Consort Group,2,"ESN, Secteur informatique",1,,33,"Communication, équipe"
EDF,5,"Environnement, Secteur Energie",0,,92,"équipe, Collaboration"
CHR Numérique,1,"ESN, Secteur informatique",1,,29,équipe
ASI,4,"ESN, Secteur informatique",7,,69,"équipe, Git"
Brainpower,1,"ESN, Secteur informatique",,,38,"Autonome, Autonôme"
Adequation,1,"Immobilier, Services aux Entreprises",7,,,"équipe, Git"
We IT,1,"Communication, ESN",1,46000,,"Français, French"
Abil Ressources,1,"ESN, Secteur informatique",1,50000,94,Deep Learning
NAVA ENGINEERING,1,"Aérospatial, ESN",7,48000,31,"équipe, Hadoop"
Adod,1,"ESN, Secteur informatique",7,,69,"AWS, Azure"
Mondial Relay,1,"Logistique, Transport",7,,59,"AWS, Tableau"
Jobmania,1,"Communication, Internet",1,12000,75,"Curiosité, équipe"
EXAKIS NELITE,1,"ESN, Secteur informatique",1,,31,"Azure, Curiosité"
Walters People,1,"Commerce de gros, Distribution",1,37500,95,"Collaboration, équipe"
In Extenso,2,"ESN, Secteur informatique",0.5,,75,"AWS, Azure"
52 Entertainment,7,,3,,,"A/B Testing, Communication"
evs professionnel,15,,3,,69,"Bases de donnée, Collaboration"
Evaneos,13,,3,,,"Autonome, Autonôme"
Datascientest,17,,1.5,36833.3333333333,75,"Python, Anglais"
Wanteeed,7,,4,50000,,"Autonome, Autonôme"
KAROS MOBILITY,7,,3,50000,,"Collaboration, Communication"
Contexte,7,,5,,,"Collaboration, équipe"
Agorastore,7,,,,,"Anglais, AWS"
Hove,7,,,,,"Anglais, équipe"
Cenova,9,,2,,59,"Anglais, Azure"
